"language","city","totalCount"
"Java","北京","5000"
"Python","北京","577"
"PHP","北京","4578"
".NET","北京","1107"
"C#","北京","426"
"C++","北京","1147"
"C","北京","1330"
"VB","北京","1"
"Delphi","北京","28"
"Perl","北京","9"
"Ruby","北京","91"
"Hadoop","北京","220"
"Node.js","北京","147"
"JavaScript","北京","287"
"U3D","北京","202"
" COCOS2D-X","北京","105"
"Android","北京","4068"
"iOS","北京","2892"
"WP","北京","8"
"Java","上海","3481"
"Python","上海","240"
"PHP","上海","2097"
".NET","上海","849"
"C#","上海","168"
"C++","上海","394"
"C","上海","451"
"VB","上海","2"
"Delphi","上海","16"
"Perl","上海","1"
"Ruby","上海","75"
"Hadoop","上海","86"
"Node.js","上海","84"
"JavaScript","上海","131"
"U3D","上海","172"
" COCOS2D-X","上海","69"
"Android","上海","1766"
"iOS","上海","1390"
"WP","上海","5"
"Java","深圳","2396"
"Python","深圳","108"
"PHP","深圳","1379"
".NET","深圳","459"
"C#","深圳","140"
"C++","深圳","412"
"C","深圳","438"
"VB","深圳","1"
"Delphi","深圳","13"
"Perl","深圳","0"
"Ruby","深圳","14"
"Hadoop","深圳","64"
"Node.js","深圳","32"
"JavaScript","深圳","92"
"U3D","深圳","100"
" COCOS2D-X","深圳","38"
"Android","深圳","1272"
"iOS","深圳","953"
"WP","深圳","3"
"Java","广州","1560"
"Python","广州","77"
"PHP","广州","1023"
".NET","广州","363"
"C#","广州","126"
"C++","广州","220"
"C","广州","239"
"VB","广州","2"
"Delphi","广州","9"
"Perl","广州","0"
"Ruby","广州","23"
"Hadoop","广州","34"
"Node.js","广州","29"
"JavaScript","广州","51"
"U3D","广州","95"
" COCOS2D-X","广州","52"
"Android","广州","907"
"iOS","广州","764"
"WP","广州","0"
"Java","杭州","1764"
"Python","杭州","67"
"PHP","杭州","671"
".NET","杭州","281"
"C#","杭州","70"
"C++","杭州","209"
"C","杭州","242"
"VB","杭州","0"
"Delphi","杭州","19"
"Perl","杭州","1"
"Ruby","杭州","21"
"Hadoop","杭州","32"
"Node.js","杭州","33"
"JavaScript","杭州","40"
"U3D","杭州","24"
" COCOS2D-X","杭州","27"
"Android","杭州","1038"
"iOS","杭州","818"
"WP","杭州","3"
"Java","成都","795"
"Python","成都","41"
"PHP","成都","370"
".NET","成都","148"
"C#","成都","52"
"C++","成都","141"
"C","成都","158"
"VB","成都","1"
"Delphi","成都","5"
"Perl","成都","0"
"Ruby","成都","10"
"Hadoop","成都","15"
"Node.js","成都","14"
"JavaScript","成都","18"
"U3D","成都","42"
" COCOS2D-X","成都","21"
