"positionId","positionName","companyId","companyShortName","positionFirstType","industryField","education","workYear","city","positionAdvantage","createTime","salary","leaderName","companyName","companySize","companyLogo","financeStage","jobNature","positionType","companyLabelList001","companyLabelList002","companyLabelList003","companyLabelList004","score","haveDeliver","adWord","randomScore","countAdjusted","calcScore","orderBy","showOrder","adjustScore","relScore","formatCreateTime","imstate","createTimeSort","positonTypesMap","hrScore","totalCount","searchScore","language"
"790491","VC/C++","54731","北京玉笛信息技术有限责任公司","技术","移动互联网","本科","3-5年","北京","期权，分红","2015-11-13 21:26:44","8k-12k","沈经理","金笛软件","15-50人","image1/M00/1E/39/Cgo8PFUtygiAZHIbAABHRQTMIaw711.png","初创型(未融资)","全职","后端开发","节日礼物","技能培训","绩效奖金","年度旅游","1081","False","0","0","False","False","110","0","0","807","1天前发布","null","1447421204000","null","164","0","0","C++"
"894938","C++高级软件研发工程师","54731","北京玉笛信息技术有限责任公司","技术","移动互联网","本科","5-10年","北京","分红","2015-11-13 21:26:35","9k-12k","沈经理","金笛软件","15-50人","image1/M00/1E/39/Cgo8PFUtygiAZHIbAABHRQTMIaw711.png","初创型(未融资)","全职","后端开发","节日礼物","技能培训","绩效奖金","年度旅游","942","False","0","0","False","False","110","0","0","668","1天前发布","null","1447421195000","null","164","0","0","C++"
"786186","C/C++（Liunx）研发工程师","75969","北京方兴科技有限公司","技术","硬件 · 其他","大专","3-5年","北京","弹性工作、五险一金、员工旅游、年终奖金等","2015-11-13 20:40:15","10k-18k","暂没有填写","北京方兴科技","50-150人","image1/M00/2D/7C/CgYXBlV5H3mAGI_QAAE_c8otA1I627.png?cc=0.17527518978434187","成长型(不需要融资)","全职","后端开发","年底双薪","带薪年假","岗位晋升","通讯津贴","941","False","0","0","False","False","105","0","0","735","1天前发布","null","1447418415000","null","101","0","0","C++"
"1118587","C++工程师（高新急聘）","1381","北京绩优堂教育科技有限公司","技术","移动互联网 · 教育","大专","3-5年","北京","氛围好，五险一金，各种福利，弹性工作","2015-11-13 18:54:48","15k-30k","暂没有填写","天天象上","150-500人","image2/M00/05/4A/CgqLKVX2eG2ASrwgAAEQHgJ9GgI731.png","成长型(A轮)","全职","后端开发","股票期权","五险一金","带薪年假","节日礼物","1156","False","0","0","False","False","115","0","0","951","1天前发布","null","1447412088000","null","90","0","0","C++"
"1055099","C++工程师（音视频方向）","1381","北京绩优堂教育科技有限公司","技术","移动互联网 · 教育","大专","3-5年","北京","五险一金，氛围好，周末双休，弹性工作","2015-11-13 18:54:19","20k-40k","暂没有填写","天天象上","150-500人","image2/M00/05/4A/CgqLKVX2eG2ASrwgAAEQHgJ9GgI731.png","成长型(A轮)","全职","后端开发","股票期权","五险一金","带薪年假","节日礼物","1151","False","0","0","False","False","115","0","0","946","1天前发布","null","1447412059000","null","90","0","0","C++"
"1209601","C++高级工程师","96434","北京美信时代科技有限公司","技术","移动互联网 · 企业服务","本科","3-5年","北京","期权激励、免费咖啡、饮料、茶、点心、水果","2015-11-13 18:18:47","10k-20k","胡建强","监控易","15-50人","i/image/M00/00/5E/Cgp3O1ZFPZyAfrZqAAAfUx84q5Y708.jpg","初创型(天使轮)","全职","后端开发","节日礼物","年底双薪","股票期权","带薪年假","921","False","0","0","False","False","113","0","0","776","1天前发布","null","1447409927000","null","32","0","0","C++"
"1260100","C++——应用开发","83974","重庆金美通信有限责任公司北京技术分公司","技术","信息安全 · 其他","本科","1-3年","北京","有师傅带 五险一金 补充医疗 提供午餐","2015-11-13 18:14:27","6k-9k","暂没有填写","金美通信","50-150人","image1/M00/3A/71/Cgo8PFWtq-KAGZ_zAAAQ87-ucXw456.JPG?cc=0.5057264773640782","上市公司","全职","后端开发","技能培训","带薪年假","绩效奖金","管理规范","1001","False","0","0","False","False","115","0","0","733","1天前发布","null","1447409667000","null","153","0","0","C++"
"245462","C/C++","4502","北京世纪鼎点软件有限公司","技术","文化娱乐","本科","1-3年","北京","核心技术，进步空间，团队氛围，企业文化","2015-11-13 18:12:57","8k-16k","暂没有填写","世纪鼎点","50-150人","image1/M00/3D/79/CgYXBlW4esGALwfxAAA54wwdGP8713.jpg","成长型(B轮)","全职","后端开发","年终分红","绩效奖金","年底双薪","股票期权","1218","False","0","0","False","False","118","1433382740991","0","967","1天前发布","null","1447409577000","null","133","0","0","C++"
"1260098","C++","83974","重庆金美通信有限责任公司北京技术分公司","技术","信息安全 · 其他","本科","1-3年","北京","有师傅带 五险一金 提供午餐 补充医疗","2015-11-13 18:12:44","6k-9k","暂没有填写","金美通信","50-150人","image1/M00/3A/71/Cgo8PFWtq-KAGZ_zAAAQ87-ucXw456.JPG?cc=0.5057264773640782","上市公司","全职","后端开发","技能培训","带薪年假","绩效奖金","管理规范","1268","False","0","0","False","False","115","0","0","1000","1天前发布","null","1447409564000","null","153","0","0","C++"
"1186412","C++高级软件工程师","95031","嘉琪","技术","移动互联网 · 其他","本科","3-5年","北京","福利待遇相当好","2015-11-13 18:10:10","18k-25k","暂没有填写","嘉琪","50-150人","image2/M00/04/5B/CgqLKVXxPZSAfP7lAAEGvx0D8Ac817.jpg?cc=0.475367269013077","成长型(不需要融资)","全职","后端开发","","","","","998","False","0","0","False","False","105","0","0","744","1天前发布","null","1447409410000","null","149","0","0","C++"
